编号,优先级,状态,现状与建议,验收条件
A01,P0,本次已修改，待真机复测,已修：iframe 内手势补解锁,回桌后直接点牌可触发恢复，无需先点设置
A02,P0,本次已修改，待真机复测,已修：有限重试、时钟检测、最多一次重建,连续失败可恢复，永久故障不无限创建 AudioContext
A03,P0,本次已修改，待真机复测,已修：原生前后台状态优先，供音频和网络共用,原生前台后晚到网页隐藏事件不再次静音或停重连
A04,P1,待实施或专项验证,增加轻量“声音未恢复，点此恢复”提示和诊断状态,仅故障时出现；不要求反复开关音乐或重启App
A05,P1,待实施或专项验证,真机音频路由矩阵：回桌面、锁屏、来电、微信语音、蓝牙连接/断开,分别验证背景音乐、报牌、人声、按钮声，不只看 state=running
A06,P1,待实施或专项验证,保持音乐/音效/报牌/语音聊天独立设置，改善试听反馈,静音永不被恢复机制解除；预览结束不持续压低背景音乐
A07,P2,待实施或专项验证,统一音量、峰值与播放优先级，压低音乐突出报牌,胡牌提示清楚，批量补花/快速回放不叠成噪音
A08,P2,待实施或专项验证,音频恢复耗时与失败原因做匿名诊断计数,能知道失败发生在哪种系统版本/音频状态，不记录语音内容
N01,P1,待实施或专项验证,将连接中/认证中/同步牌桌/已恢复/无法连接明确分态,用户知道正在做什么；不要只显示笼统“网络错误”
N02,P1,待实施或专项验证,以实测 RTT、连续超时、状态新鲜度做弱网等级,不伪造手机 Wi-Fi 格数；弱网有文字，不只靠图标颜色
N03,P1,待实施或专项验证,新 socket 收到 session 时已设 connected=true；应检查恢复原桌时是否仍可能显示旧快照,以新快照到达为可操作条件；服务端版本拒绝不能替代前端体验
N04,P1,待实施或专项验证,30秒心跳意味着空闲黑洞检测可能较慢；活跃牌局考虑更短、可配置心跳,在电耗和流量预算内达成断线发现时限；测出实际分位数
N05,P1,待实施或专项验证,重连退避缺少随机抖动,大量用户同时回前台或服务恢复时，连接不集中撞峰
N06,P1,待实施或专项验证,离线、网络恢复、Wi-Fi→蜂窝、DNS失败、TLS失败分开验证,恢复原账号和原桌，不创建重复桌，不丢权限
N07,P1,待实施或专项验证,ACK丢失/状态先到/网络重连/重复点击专项矩阵,同一动作至多结算一次；未知结果先拉状态、不自动重发
N08,P1,待实施或专项验证,requestId 当前主要用于关联确认；不能直接等同于服务端幂等去重,若未来重发操作，先设计服务端去重与幂等范围，不能只加客户端重试
N09,P1,待实施或专项验证,重连期间倒计时、按钮禁用、托管状态同步验证,无效动作不可发送；恢复不补播历史报牌、不重复播放胡牌
N10,P1,待实施或专项验证,断网20秒/2分钟、后台5分钟、系统杀进程、服务重启场景,回原桌或明确说明已结束，绝不静默进入新局
N11,P1,待实施或专项验证,TLS证书/固定公钥续期与备用钥轮换演练,正常续证无感；配置错误可诊断，不通过关闭校验解决
N12,P2,待实施或专项验证,加入连接诊断：最近RTT、重连次数、恢复耗时、丢失确认、服务版本,日志不含令牌和暗牌；能把用户反馈对应到具体故障阶段
N13,P2,待实施或专项验证,设稳定性目标与低网速/丢包/长时自动测试,分别统计P50/P95恢复耗时及成功率；目标与实测结果分开写
E01,P1,待实施或专项验证,Cocos运行资源本地约37MB；按进入牌桌必需资源/延后加载资源拆分预算,首次进入牌桌的耗时、内存、上传大小都有基线；不直接把37MB当网络下载量
E02,P1,待实施或专项验证,引擎加载当前只有总体“正在摆好牌桌”；增加可重试失败分类,资源缺失、版本不符、解码失败能定位；正常加载不展示开发术语
E03,P1,待实施或专项验证,音频、图集和Cocos运行包保持版本/哈希一致,发布前校验客户端所有资源；避免源码已变而运行包仍旧
E04,P2,待实施或专项验证,大厅、牌桌、回放分阶段加载；保留常用音频缓存,重复进出不重复解码，不造成多路BGM叠播
E05,P2,待实施或专项验证,低端安卓帧率、显存/内存、发热与耗电测量,连玩30分钟/2小时都不明显恶化；减少效果档仍可正常玩
E06,P2,待实施或专项验证,建立568/844/1280布局截图、操作响应和网络回归的发布门槛,每版先通过关键流程，再生成APK/IPA；代码测试和真机测试分别记录
